Date,Price_Dailymetal,Price_COMEX,Price_SA_LOB,Price_LAC,Price_EA_Carbonate,Price_EA_Carbonate_Batt
2016-12-31,20.92,14.0,10.0,10.13,37.75,43.7
2017-01-31,20.92,14.0,10.0,10.13,37.75,43.7
2017-02-28,20.92,14.0,10.25,10.13,37.75,43.7
2017-03-31,20.92,14.0,10.25,10.13,37.75,43.7
2017-04-30,20.92,14.0,10.5,10.13,37.75,43.7
2017-05-10,20.92,14.0,10.5,10.13,37.75,43.7
2017-05-11,20.92,14.0,10.5,10.13,37.75,43.7
2017-05-12,20.92,14.0,10.5,10.13,37.75,43.7
2017-05-15,20.92,14.0,10.5,10.13,37.75,43.7
2017-05-16,20.92,14.0,10.5,10.13,37.75,43.7
2017-05-17,20.92,14.0,10.5,10.13,37.75,43.7
2017-05-18,20.92,14.0,10.5,10.13,37.75,43.7
2017-05-19,21.689,14.0,10.5,10.13,37.75,43.7
2017-05-22,21.689,14.0,10.5,10.13,37.75,43.7
2017-05-23,21.689,14.0,10.5,10.13,37.75,43.7
2017-05-24,21.689,14.0,10.5,10.13,37.75,43.7
2017-05-25,21.689,14.0,10.5,10.13,37.75,43.7
2017-05-26,21.689,14.0,10.5,10.13,37.75,43.7
2017-05-30,21.689,14.0,10.5,10.13,37.75,43.7
2017-05-31,21.689,14.0,10.5,10.13,37.75,43.7
2017-06-01,21.997,14.0,10.5455,10.13,37.75,43.7
2017-06-02,21.997,14.0,10.5909,10.13,37.75,43.7
2017-06-05,21.997,14.0,10.6364,10.13,37.75,43.7
2017-06-06,22.228,14.0,10.6818,10.13,37.75,43.7
2017-06-07,22.228,14.0,10.7273,10.13,37.75,43.7
2017-06-08,22.228,14.0,10.7727,10.13,37.75,43.7
2017-06-09,22.228,14.0,10.8182,10.13,37.75,43.7
2017-06-12,22.228,14.0,10.8636,10.13,37.75,43.7
2017-06-13,22.228,14.0,10.9091,10.13,37.75,43.7
2017-06-14,22.228,14.0,10.9545,10.13,37.75,43.7
2017-06-15,22.228,14.0,11.0,10.13,37.75,43.7
2017-06-16,22.228,14.0,11.0455,10.13,37.75,43.7
2017-06-19,22.228,14.0,11.0909,10.13,37.75,43.7
2017-06-20,22.228,14.0,11.1364,10.13,37.75,43.7
2017-06-21,22.228,14.0,11.1818,10.13,37.75,43.7
2017-06-22,22.228,14.0,11.2273,10.13,37.75,43.7
2017-06-23,22.228,14.0,11.2727,10.13,37.75,43.7
2017-06-26,22.382,14.0,11.3182,10.13,37.75,43.7
2017-06-27,22.382,14.0,11.3636,10.13,37.75,43.7
2017-06-28,22.382,14.0,11.4091,10.13,37.75,43.7
2017-06-29,22.382,14.0,11.4545,10.13,37.75,43.7
2017-06-30,22.382,14.0,11.5,10.13,37.75,43.7
2017-07-03,22.382,14.0,11.5476,10.13,37.75,43.7
2017-07-04,22.382,14.0,11.5952,10.13,37.75,43.7
2017-07-05,22.382,14.0,11.6429,10.13,37.75,43.7
2017-07-06,22.382,14.0,11.6905,10.13,37.75,43.7
2017-07-07,22.382,14.0,11.7381,10.13,37.75,43.7
2017-07-10,22.382,14.0,11.7857,10.13,37.75,43.7
2017-07-11,22.382,14.0,11.8333,10.13,37.75,43.7
2017-07-12,22.382,14.0,11.881,10.13,37.75,43.7
2017-07-13,22.382,14.0,11.9286,10.13,37.75,43.7
2017-07-14,22.382,14.0,11.9762,10.13,37.75,43.7
2017-07-17,22.382,14.0,12.0238,10.13,37.75,43.7
2017-07-18,22.382,14.0,12.0714,10.13,37.75,43.7
2017-07-19,22.382,14.0,12.119,10.13,37.75,43.7
2017-07-20,22.382,14.0,12.1667,10.13,37.75,43.7
2017-07-21,22.382,14.0,12.2143,10.13,37.75,43.7
2017-07-24,22.382,14.0,12.2619,10.13,37.75,43.7
2017-07-25,22.382,14.0,12.3095,10.13,37.75,43.7
2017-07-26,22.382,14.0,12.3571,10.13,37.75,43.7
2017-07-27,22.382,14.0,12.4048,10.13,37.75,43.7
2017-07-28,22.382,14.0,12.4524,10.13,37.75,43.7
2017-07-31,22.843,14.0,12.5,10.13,37.75,43.7
2017-08-01,22.843,14.0,12.5568,10.13,37.75,43.7
2017-08-02,22.843,14.0,12.6136,10.13,37.75,43.7
2017-08-03,22.843,14.0,12.6705,10.13,37.75,43.7
2017-08-04,22.843,14.0,12.7273,10.13,37.75,43.7
2017-08-07,22.843,14.0,12.7841,10.13,37.75,43.7
2017-08-08,22.843,14.0,12.8409,10.13,37.75,43.7
2017-08-10,23.305,14.0,12.8977,10.13,37.75,43.7
2017-08-11,23.305,14.0,12.9545,10.13,37.75,43.7
2017-08-14,23.305,14.0,13.0114,10.13,37.75,43.7
2017-08-15,23.305,14.0,13.0682,10.13,37.75,43.7
2017-08-16,23.305,14.0,13.125,10.13,37.75,43.7
2017-08-17,23.305,14.0,13.1818,10.13,37.75,43.7
2017-08-18,23.305,14.0,13.2386,10.13,37.75,43.7
2017-08-21,23.305,14.0,13.2955,10.13,37.75,43.7
2017-08-22,23.997,14.0,13.3523,10.13,37.75,43.7
2017-08-23,23.997,14.0,13.4091,10.13,37.75,43.7
2017-08-24,23.997,14.0,13.4659,10.13,37.75,43.7
2017-08-25,23.997,14.0,13.5227,10.13,37.75,43.7
2017-08-28,23.997,14.0,13.5795,10.13,37.75,43.7
2017-08-29,23.997,14.0,13.6364,10.13,37.75,43.7
2017-08-30,23.997,14.0,13.6932,10.13,37.75,43.7
2017-08-31,23.997,14.0,13.75,10.13,37.75,43.7
2017-09-01,23.997,14.0,13.75,10.13,37.75,43.7
2017-09-04,23.997,14.0,13.75,10.13,37.75,43.7
2017-09-05,23.997,14.0,13.75,10.13,37.75,43.7
2017-09-06,23.997,14.0,13.75,10.13,37.75,43.7
2017-09-07,23.997,14.0,13.75,10.13,37.75,43.7
2017-09-08,23.997,14.0,13.75,10.13,37.75,43.7
2017-09-11,24.305,14.0,13.75,10.13,37.75,43.7
2017-09-12,24.305,14.0,13.75,10.13,37.75,43.7
2017-09-13,24.305,14.0,13.75,10.13,37.75,43.7
2017-09-14,24.305,14.0,13.75,10.13,37.75,43.7
2017-09-15,24.305,14.0,13.75,10.13,37.75,43.7
2017-09-18,24.305,14.0,13.75,10.13,37.75,43.7
2017-09-19,25.074,14.0,13.75,10.13,37.75,43.7
2017-09-20,25.074,14.0,13.75,10.13,37.75,43.7
2017-09-21,25.074,14.0,13.75,10.13,37.75,43.7
2017-09-22,25.074,14.0,13.75,10.13,37.75,43.7
2017-09-26,25.074,14.0,13.75,10.13,37.75,43.7
2017-09-27,25.074,14.0,13.75,10.13,37.75,43.7
2017-09-28,25.074,14.0,13.75,10.13,37.75,43.7
2017-09-29,25.074,14.0,13.75,10.13,37.75,43.7
2017-09-30,25.074,14.0,13.75,10.13,37.75,43.7
2017-10-09,25.074,14.0,13.7574,10.13,37.75,43.7
2017-10-10,25.074,14.0,13.7647,10.13,37.75,43.7
2017-10-11,25.843,14.0,13.7721,10.13,37.75,43.7
2017-10-12,26.304,14.0,13.7794,10.13,37.75,43.7
2017-10-13,26.304,14.0,13.7868,10.13,37.75,43.7
2017-10-16,26.304,14.0,13.7941,10.13,37.75,43.7
2017-10-17,26.304,14.0,13.8015,10.13,37.75,43.7
2017-10-18,26.304,14.0,13.8088,10.13,37.75,43.7
2017-10-19,26.304,14.0,13.8162,10.13,37.75,43.7
2017-10-20,26.304,14.0,13.8235,10.13,37.75,43.7
2017-10-23,26.304,14.0,13.8309,10.13,37.75,43.7
2017-10-24,26.304,14.0,13.8382,10.13,37.75,43.7
2017-10-25,26.304,14.0,13.8456,10.13,37.75,43.7
2017-10-26,26.304,14.0,13.8529,10.13,37.75,43.7
2017-10-27,26.304,14.0,13.8603,10.13,37.75,43.7
2017-10-30,26.304,14.0,13.8676,10.13,37.75,43.7
2017-10-31,26.304,14.0,13.875,10.13,37.75,43.7
2017-11-01,26.304,14.0,13.8807,10.13,37.75,43.7
2017-11-02,26.304,14.0,13.8864,10.13,37.75,43.7
2017-11-03,26.304,14.0,13.892,10.13,37.75,43.7
2017-11-06,26.304,14.0,13.8977,10.13,37.75,43.7
2017-11-07,26.304,14.0,13.9034,10.13,37.75,43.7
2017-11-08,26.304,14.0,13.9091,10.13,37.75,43.7
2017-11-09,26.304,14.0,13.9148,10.13,37.75,43.7
2017-11-10,26.304,14.0,13.9205,10.13,37.75,43.7
2017-11-13,26.304,14.0,13.9261,10.13,37.75,43.7
2017-11-14,26.304,14.0,13.9318,10.13,37.75,43.7
2017-11-15,26.304,14.0,13.9375,10.13,37.75,43.7
2017-11-16,26.304,14.0,13.9432,10.13,37.75,43.7
2017-11-17,26.304,14.0,13.9489,10.13,37.75,43.7
2017-11-20,26.304,14.0,13.9545,10.13,37.75,43.7
2017-11-21,26.304,14.0,13.9602,10.13,37.75,43.7
2017-11-22,26.304,14.0,13.9659,10.13,37.75,43.7
2017-11-23,26.304,14.0,13.9716,10.13,37.75,43.7
2017-11-24,26.304,14.0,13.9773,10.13,37.75,43.7
2017-11-27,26.304,14.0,13.983,10.13,37.75,43.7
2017-11-28,26.304,14.0,13.9886,10.13,37.75,43.7
2017-11-29,26.304,14.0,13.9943,10.13,37.75,43.7
2017-11-30,26.304,14.0,14.0,10.13,37.75,43.7
2017-12-01,26.304,14.0,14.0,10.13,37.75,43.7
2017-12-04,26.304,14.0,14.0,10.13,37.75,43.7
2017-12-05,26.304,14.0,14.0,10.13,37.75,43.7
2017-12-06,26.304,14.0,14.0,10.13,37.75,43.7
2017-12-07,26.304,14.0,14.0,10.13,37.75,43.7
2017-12-08,26.304,14.0,14.0,10.13,37.75,43.7
2017-12-11,26.304,14.0,14.0,10.13,37.75,43.7
2017-12-12,26.304,14.0,14.0,10.13,37.75,43.7
2017-12-13,26.304,14.0,14.0,10.13,37.75,43.7
2017-12-14,25.997,14.0,14.0,10.13,37.75,43.7
2017-12-15,25.997,14.0,14.0,10.13,37.75,43.7
2017-12-18,25.997,14.0,14.0,10.13,37.75,43.7
2017-12-19,25.997,14.0,14.0,10.13,37.75,43.7
2017-12-20,25.997,14.0,14.0,10.13,37.75,43.7
2017-12-21,25.535,14.0,14.0,10.13,37.75,43.7
2017-12-22,25.535,14.0,14.0,10.13,37.75,43.7
2017-12-25,25.535,14.0,14.0,10.13,37.75,43.7
2017-12-26,25.535,14.0,14.0,10.13,37.75,43.7
2017-12-27,25.535,14.0,14.0,10.13,37.75,43.7
2017-12-28,25.535,14.0,14.0,10.13,37.75,43.7
2017-12-29,25.535,14.0,14.0,10.13,37.75,43.7
2017-12-31,25.535,14.0,14.0,10.13,37.75,43.7
2018-01-02,25.535,14.0,14.0227,10.13,37.75,43.7
2018-01-03,25.535,14.0,14.0455,10.13,37.75,43.7
2018-01-04,25.535,14.0,14.0682,10.13,37.75,43.7
2018-01-05,25.227,14.0,14.0909,10.13,37.75,43.7
2018-01-08,25.227,14.0,14.1136,10.13,37.75,43.7
2018-01-09,24.843,14.0,14.1364,10.13,37.75,43.7
2018-01-10,24.843,14.0,14.1591,10.13,37.75,43.7
2018-01-11,24.843,14.0,14.1818,10.13,37.75,43.7
2018-01-12,24.843,14.0,14.2045,10.13,37.75,43.7
2018-01-15,24.381,14.0,14.2273,10.13,37.75,43.7
2018-01-16,24.381,14.0,14.25,10.13,37.75,43.7
2018-01-17,24.381,14.0,14.2727,10.13,37.75,43.7
2018-01-18,24.381,14.0,14.2955,10.13,37.75,43.7
2018-01-19,24.074,14.0,14.3182,10.13,37.75,43.7
2018-01-22,24.074,14.0,14.3409,10.13,37.75,43.7
2018-01-23,24.074,14.0,14.3636,10.13,37.75,43.7
2018-01-24,23.766,14.0,14.3864,10.13,37.75,43.7
2018-01-25,23.766,14.0,14.4091,10.13,37.75,43.7
2018-01-26,23.766,14.0,14.4318,10.13,37.75,43.7
2018-01-29,23.766,14.0,14.4545,10.13,37.75,43.7
2018-01-30,23.766,14.0,14.4773,10.13,37.75,43.7
2018-01-31,23.766,14.0,14.5,10.13,37.75,43.7
2018-02-01,23.766,14.0,14.5,10.13,37.75,43.7
2018-02-02,23.766,14.0,14.5,10.13,37.75,43.7
2018-02-05,23.766,14.0,14.5,10.13,37.75,43.7
2018-02-06,23.766,14.0,14.5,10.13,37.75,43.7
2018-02-07,23.766,14.0,14.5,10.13,37.75,43.7
2018-02-08,23.766,14.0,14.5,10.13,37.75,43.7
2018-02-09,23.766,14.0,14.5,10.13,37.75,43.7
2018-02-22,23.766,14.0,14.5,10.13,37.75,43.7
2018-02-23,23.766,14.0,14.5,10.13,37.75,43.7
2018-02-26,23.766,14.0,14.5,10.13,37.75,43.7
2018-02-27,23.766,14.0,14.5,10.13,37.75,43.7
2018-02-28,23.766,14.0,14.5,10.13,37.75,43.7
2018-03-01,23.766,14.0,14.5109,10.13,37.75,43.7
2018-03-02,23.766,14.0,14.5217,10.13,37.75,43.7
2018-03-05,23.766,14.0,14.5326,10.13,37.75,43.7
2018-03-06,23.766,14.0,14.5435,10.13,37.75,43.7
2018-03-07,23.766,14.0,14.5543,10.13,37.75,43.7
2018-03-08,23.766,14.0,14.5652,10.13,37.75,43.7
2018-03-09,23.766,14.0,14.5761,10.13,37.75,43.7
2018-03-12,23.766,14.0,14.587,10.13,37.75,43.7
2018-03-13,23.766,14.0,14.5978,10.13,37.75,43.7
2018-03-14,23.766,14.0,14.6087,10.13,37.75,43.7
2018-03-15,23.766,14.0,14.6196,10.13,37.75,43.7
2018-03-16,23.766,14.0,14.6304,10.13,37.75,43.7
2018-03-19,23.766,14.0,14.6413,10.13,37.75,43.7
2018-03-20,23.766,14.0,14.6522,10.13,37.75,43.7
2018-03-21,23.766,14.0,14.663,10.13,37.75,43.7
2018-03-22,23.766,14.0,14.6739,10.13,37.75,43.7
2018-03-23,23.766,14.0,14.6848,10.13,37.75,43.7
2018-03-26,23.766,14.0,14.6957,10.13,37.75,43.7
2018-03-27,23.766,14.0,14.7065,10.13,37.75,43.7
2018-03-28,23.766,14.0,14.7174,10.13,37.75,43.7
2018-03-29,23.766,14.0,14.7283,10.13,37.75,43.7
2018-03-30,23.766,14.0,14.7391,10.13,37.75,43.7
2018-03-31,23.766,14.0,14.75,10.13,37.75,43.7
2018-04-02,23.766,14.0,14.75,10.13,37.75,43.7
2018-04-03,23.612,14.0,14.75,10.13,37.75,43.7
2018-04-04,23.612,14.0,14.75,10.13,37.75,43.7
2018-04-09,23.612,14.0,14.75,10.13,37.75,43.7
2018-04-10,23.612,14.0,14.75,10.13,37.75,43.7
2018-04-11,23.612,14.0,14.75,10.13,37.75,43.7
2018-04-12,23.305,14.0,14.75,10.13,37.75,43.7
2018-04-13,22.997,14.0,14.75,10.13,37.75,43.7
2018-04-16,22.536,14.0,14.75,10.13,37.75,43.7
2018-04-17,22.536,14.0,14.75,10.13,37.75,43.7
2018-04-18,22.536,14.0,14.75,10.13,37.75,43.7
2018-04-19,22.536,14.0,14.75,10.13,37.75,43.7
2018-04-20,22.536,14.0,14.75,10.13,37.75,43.7
2018-04-23,22.536,14.0,14.75,10.13,37.75,43.7
2018-04-24,22.382,14.0,14.75,10.13,37.75,43.7
2018-04-25,22.382,14.0,14.75,10.13,37.75,43.7
2018-04-26,22.074,14.0,14.75,10.13,37.75,43.7
2018-04-27,22.074,14.0,14.75,10.13,37.75,43.7
2018-04-30,21.9585,14.0,14.75,10.13,37.75,43.7
2018-05-02,21.843,14.0,14.7955,10.13,37.75,43.7
2018-05-03,21.689,14.0,14.8409,10.13,37.75,43.7
2018-05-04,21.689,14.0,14.8864,10.13,37.75,43.7
2018-05-07,21.689,14.0,14.9318,10.13,37.75,43.7
2018-05-08,21.689,14.0,14.9773,10.13,37.75,43.7
2018-05-09,21.689,14.0,15.0227,10.13,37.75,43.7
2018-05-10,21.689,14.0,15.0682,10.13,37.75,43.7
2018-05-11,21.689,14.0,15.1136,10.13,37.75,43.7
2018-05-14,21.689,14.0,15.1591,10.13,37.75,43.7
2018-05-15,21.689,14.0,15.2045,10.13,37.75,43.7
2018-05-16,21.689,14.0,15.25,10.13,37.75,43.7
2018-05-17,21.689,14.0,15.2955,10.13,37.75,43.7
2018-05-18,21.689,14.0,15.3409,10.13,37.75,43.7
2018-05-21,21.689,14.0,15.3864,10.13,37.75,43.7
2018-05-22,21.689,14.0,15.4318,10.13,37.75,43.7
2018-05-23,21.689,14.0,15.4773,10.13,37.75,43.7
2018-05-24,21.689,14.0,15.5227,10.13,37.75,43.7
2018-05-25,21.689,14.0,15.5682,10.13,37.75,43.7
2018-05-28,21.382,14.0,15.6136,10.13,37.75,43.7
2018-05-29,20.92,14.0,15.6591,10.13,37.75,43.7
2018-05-30,20.459,14.0,15.7045,10.13,37.75,43.7
2018-05-31,20.459,14.0,15.75,10.13,37.75,43.7
2018-06-01,20.459,14.0,15.75,10.13,37.75,43.7
2018-06-04,20.459,14.0,15.75,10.13,37.75,43.7
2018-06-05,19.997,14.0,15.75,10.13,37.75,43.7
2018-06-06,19.536,14.0,15.75,10.13,37.75,43.7
2018-06-07,19.536,14.0,15.75,10.13,37.75,43.7
2018-06-08,19.536,14.0,15.75,10.13,37.75,43.7
2018-06-11,19.536,14.0,15.75,10.13,37.75,43.7
2018-06-12,19.536,14.0,15.75,10.13,37.75,43.7
2018-06-13,19.536,14.0,15.75,10.13,37.75,43.7
2018-06-14,19.536,14.0,15.75,10.13,37.75,43.7
2018-06-15,19.228,14.0,15.75,10.13,37.75,43.7
2018-06-19,19.228,14.0,15.75,10.13,37.75,43.7
2018-06-20,19.228,14.0,15.75,10.13,37.75,43.7
2018-06-21,19.228,14.0,15.75,10.13,37.75,43.7
2018-06-22,19.228,14.0,15.75,10.13,37.75,43.7
2018-06-25,19.228,14.0,15.75,10.13,37.75,43.7
2018-06-26,19.228,14.0,15.75,10.13,37.75,43.7
2018-06-27,18.921,14.0,15.75,10.13,37.75,43.7
2018-06-28,18.921,14.0,15.75,10.13,37.75,43.7
2018-06-29,18.921,14.0,15.75,10.13,37.75,43.7
2018-06-30,18.921,14.0,15.75,10.13,37.75,43.7
2018-07-02,18.921,14.0,15.7159,10.13,37.75,43.7
2018-07-03,18.613,14.0,15.6818,10.13,37.75,43.7
2018-07-04,18.305,14.0,15.6477,10.13,37.75,43.7
2018-07-05,18.305,14.0,15.6136,10.13,37.75,43.7
2018-07-06,18.305,14.0,15.5795,10.13,37.75,43.7
2018-07-09,18.305,14.0,15.5455,10.13,37.75,43.7
2018-07-10,17.998,14.0,15.5114,10.13,37.75,43.7
2018-07-11,17.998,14.0,15.4773,10.13,37.75,43.7
2018-07-12,17.998,14.0,15.4432,10.13,37.75,43.7
2018-07-13,17.998,14.0,15.4091,10.13,37.75,43.7
2018-07-16,17.998,14.0,15.375,10.13,37.75,43.7
2018-07-17,17.998,14.0,15.3409,10.13,37.75,43.7
2018-07-18,17.998,14.0,15.3068,10.13,37.75,43.7
2018-07-19,17.998,14.0,15.2727,10.13,37.75,43.7
2018-07-20,17.998,14.0,15.2386,10.13,37.75,43.7
2018-07-23,17.536,14.0,15.2045,10.13,37.75,43.7
2018-07-24,17.075,14.0,15.1705,10.13,37.75,43.7
2018-07-25,16.613,14.0,15.1364,10.13,37.75,43.7
2018-07-26,16.306,14.0,15.1023,10.13,37.75,43.7
2018-07-27,16.306,14.0,15.0682,10.13,37.75,43.7
2018-07-30,15.844,14.0,15.0341,10.13,37.75,43.7
2018-07-31,15.844,14.0,15.0,10.13,37.75,43.7
2018-08-01,15.536,14.0,15.0,10.13,37.75,43.7
2018-08-02,15.383,14.0,15.0,10.13,37.75,43.7
2018-08-03,15.075,14.0,15.0,10.13,37.75,43.7
2018-08-06,14.921,14.0,15.0,10.13,37.75,43.7
2018-08-07,14.921,14.0,15.0,10.13,37.75,43.7
2018-08-08,14.921,14.0,15.0,10.13,37.75,43.7
2018-08-09,14.921,14.0,15.0,10.13,37.75,43.7
2018-08-10,14.921,14.0,15.0,10.13,37.75,43.7
2018-08-13,14.767,14.0,15.0,10.13,37.75,43.7
2018-08-14,14.613,14.0,15.0,10.13,37.75,43.7
2018-08-15,14.46,14.0,15.0,10.13,37.75,43.7
2018-08-16,14.46,14.0,15.0,10.13,37.75,43.7
2018-08-17,14.306,14.0,15.0,10.13,37.75,43.7
2018-08-20,14.306,14.0,15.0,10.13,37.75,43.7
2018-08-21,14.306,14.0,15.0,10.13,37.75,43.7
2018-08-22,13.998,14.0,15.0,10.13,37.75,43.7
2018-08-23,13.691,14.0,15.0,10.13,37.75,43.7
2018-08-24,13.537,14.0,15.0,10.13,37.75,43.7
2018-08-27,13.229,14.0,15.0,10.13,37.75,43.7
2018-08-28,12.921,14.0,15.0,10.13,37.75,43.7
2018-08-29,12.921,14.0,15.0,10.13,37.75,43.7
2018-08-30,12.921,14.0,15.0,10.13,37.75,43.7
2018-08-31,12.921,14.0,15.0,10.13,37.75,43.7
2018-09-03,12.921,14.0,14.975,10.13,37.75,43.7
2018-09-04,12.921,14.0,14.95,10.13,37.75,43.7
2018-09-05,12.921,14.0,14.925,10.13,37.75,43.7
2018-09-06,12.921,14.0,14.9,10.13,37.75,43.7
2018-09-07,12.921,14.0,14.875,10.13,37.75,43.7
2018-09-10,12.921,14.0,14.85,10.13,37.75,43.7
2018-09-11,12.921,14.0,14.825,10.13,37.75,43.7
2018-09-12,12.921,14.0,14.8,10.13,37.75,43.7
2018-09-13,12.921,14.0,14.775,10.13,37.75,43.7
2018-09-14,12.921,14.0,14.75,10.13,37.75,43.7
2018-09-17,12.768,14.0,14.725,10.13,37.75,43.7
2018-09-18,12.614,14.0,14.7,10.13,37.75,43.7
2018-09-19,12.614,14.0,14.675,10.13,37.75,43.7
2018-09-20,12.383,14.0,14.65,10.13,37.75,43.7
2018-09-21,12.383,14.0,14.625,10.13,37.75,43.7
2018-09-25,12.383,14.0,14.6,10.13,37.75,43.7
2018-09-26,12.383,14.0,14.575,10.13,37.75,43.7
2018-09-27,12.383,14.0,14.55,10.13,37.75,43.7
2018-09-28,12.383,14.0,14.525,10.13,37.75,43.7
2018-09-30,12.383,14.0,14.5,10.13,37.75,43.7
2018-10-08,12.383,14.0,14.4931,10.13,37.75,43.7
2018-10-09,12.152,14.0,14.4861,10.13,37.75,43.7
2018-10-10,11.998,14.0,14.4792,10.13,37.75,43.7
2018-10-11,11.998,14.0,14.4722,10.13,37.75,43.7
2018-10-12,11.998,14.0,14.4653,10.13,37.75,43.7
2018-10-15,11.998,14.0,14.4583,10.13,37.75,43.7
2018-10-16,11.998,14.0,14.4514,10.13,37.75,43.7
2018-10-17,11.998,14.0,14.4444,10.13,37.75,43.7
2018-10-18,11.998,14.0,14.4375,10.13,37.75,43.7
2018-10-19,11.998,14.0,14.4306,10.13,37.75,43.7
2018-10-22,11.998,14.0,14.4236,10.13,37.75,43.7
2018-10-23,11.998,14.0,14.4167,10.13,37.75,43.7
2018-10-24,11.998,14.0,14.4097,10.13,37.75,43.7
2018-10-25,11.998,14.0,14.4028,10.13,37.75,43.7
2018-10-26,11.998,14.0,14.3958,10.13,37.75,43.7
2018-10-29,11.998,14.0,14.3889,10.13,37.75,43.7
2018-10-30,11.998,14.0,14.3819,10.13,37.75,43.7
2018-10-31,11.998,14.0,14.375,10.13,37.75,43.7
2018-11-01,12.306,14.0,14.3352,10.13,37.75,43.7
2018-11-02,12.306,14.0,14.2955,10.13,37.75,43.7
2018-11-05,12.306,14.0,14.2557,10.13,37.75,43.7
2018-11-06,12.306,14.0,14.2159,10.13,37.75,43.7
2018-11-07,12.306,14.0,14.1761,10.13,37.75,43.7
2018-11-08,12.306,14.0,14.1364,10.13,37.75,43.7
2018-11-09,12.306,14.0,14.0966,10.13,37.75,43.7
2018-11-12,12.306,14.0,14.0568,10.13,37.75,43.7
2018-11-13,12.306,14.0,14.017,10.13,37.75,43.7
2018-11-14,12.306,14.0,13.9773,10.13,37.75,43.7
2018-11-15,12.306,14.0,13.9375,10.13,37.75,43.7
2018-11-16,12.306,14.0,13.8977,10.13,37.75,43.7
2018-11-19,12.306,14.0,13.858,10.13,37.75,43.7
2018-11-20,12.306,14.0,13.8182,10.13,37.75,43.7
2018-11-21,12.306,14.0,13.7784,10.13,37.75,43.7
2018-11-22,12.306,14.0,13.7386,10.13,37.75,43.7
2018-11-23,12.306,14.0,13.6989,10.13,37.75,43.7
2018-11-26,12.306,14.0,13.6591,10.13,37.75,43.7
2018-11-27,12.306,14.0,13.6193,10.13,37.75,43.7
2018-11-28,12.306,14.0,13.5795,10.13,37.75,43.7
2018-11-29,12.306,14.0,13.5398,10.13,37.75,43.7
2018-11-30,12.306,14.0,13.5,10.13,37.75,43.7
2018-12-03,12.306,14.0,13.5,10.13,37.75,43.7
2018-12-04,12.306,14.0,13.5,10.13,37.75,43.7
2018-12-05,12.306,14.0,13.5,10.13,37.75,43.7
2018-12-06,12.306,14.0,13.5,10.13,37.75,43.7
2018-12-07,12.306,14.0,13.5,10.13,37.75,43.7
2018-12-10,12.306,14.0,13.5,10.13,37.75,43.7
2018-12-11,12.306,14.0,13.5,10.13,37.75,43.7
2018-12-12,12.306,14.0,13.5,10.13,37.75,43.7
2018-12-13,12.306,14.0,13.5,10.13,37.75,43.7
2018-12-14,12.306,14.0,13.5,10.13,37.75,43.7
2018-12-17,12.306,14.0,13.5,10.13,37.75,43.7
2018-12-18,12.306,14.0,13.5,10.13,37.75,43.7
2018-12-19,12.229,14.0,13.5,10.13,37.75,43.7
2018-12-20,12.229,14.0,13.5,10.13,37.75,43.7
2018-12-21,12.229,14.0,13.5,10.13,37.75,43.7
